M,D,ε,R
1.7916e25,7.27955931317221e10,1.0e-10,1.6696147134807244e7
1.7916e25,8.215200157175165e10,1.0e-10,1.6526868135270469e7
1.7916e25,9.271098801314798e10,1.0e-10,1.6455739809484236e7
1.7916e25,1.0462711965534886e11,1.0e-10,1.6350334993326776e7
1.7916e25,1.1807483020051779e11,1.0e-10,1.6303702175826091e7
1.7916e25,1.3325097329264297e11,1.0e-10,1.6259080154659254e7
1.7916e25,1.5037770414984564e11,1.0e-10,1.6248191980602901e7
1.7916e25,1.697057315725215e11,1.0e-10,1.6202497529087113e7
1.7916e25,1.9151798793168564e11,1.0e-10,1.6189678920214515e7
1.7916e25,2.1613377086045517e11,1.0e-10,1.6235349611402782e7
1.7916e25,2.4391341727661914e11,1.0e-10,1.6222335934585778e7
1.7916e25,2.752635781567402e11,1.0e-10,1.622267680889338e7
1.7916e25,3.106431712763152e11,1.0e-10,1.6201750804692945e7
1.7916e25,3.50570099054869e11,1.0e-10,1.6190173389106924e7
1.7916e25,3.95628829844846e11,1.0e-10,1.6199279534455378e7
1.7916e25,4.4647895364260455e11,1.0e-10,1.6165414822105179e7
1.7916e25,5.0386483746387146e11,1.0e-10,1.6154723009774907e7
1.7916e25,5.686265217233893e11,1.0e-10,1.616675973875363e7
1.7916e25,6.417120171248813e11,1.0e-10,1.6182690684672432e7
1.7916e25,7.241911820687164e11,1.0e-10,1.6183797404169368e7
1.7916e25,8.172713837210608e11,1.0e-10,1.617276647233653e7
1.7916e25,9.223151719982683e11,1.0e-10,1.6171527214956574e7
1.7916e25,1.0408602251862667e12,1.0e-10,1.6165932654474314e7
1.7916e25,1.1746418591678938e12,1.0e-10,1.6155154706109008e7
1.7916e25,1.3256184297584172e12,1.0e-10,1.6116411055445159e7
1.7916e25,1.4960000000000024e12,1.0e-10,1.6122505621826831e7
1.7916e25,4.4880000000000084e10,1.0e-12,1.6351027472429378e7
1.7916e25,5.064842076179947e10,1.0e-12,1.583232298608517e7
1.7916e25,5.7158255919435715e10,1.0e-12,1.554998555843503e7
1.7916e25,6.450479937206279e10,1.0e-12,1.5185160083171751e7
