M,D,ε,R
5.972000000000001e25,1.1746418591678938e12,1.0e-8,2.0143540679532703e7
5.972000000000001e25,1.3256184297584172e12,1.0e-8,2.0129786631668285e7
5.972000000000001e25,1.4960000000000024e12,1.0e-8,2.0133987624931697e7
5.972000000000001e25,4.4880000000000084e10,1.0e-10,1.8334424000983756e7
5.972000000000001e25,5.064842076179947e10,1.0e-10,1.820197417957322e7
5.972000000000001e25,5.7158255919435715e10,1.0e-10,1.8118738109571155e7
5.972000000000001e25,6.450479937206279e10,1.0e-10,1.8028780395782348e7
5.972000000000001e25,7.27955931317221e10,1.0e-10,1.797594786537232e7
5.972000000000001e25,8.215200157175165e10,1.0e-10,1.7924635882881053e7
5.972000000000001e25,9.271098801314798e10,1.0e-10,1.787958136828806e7
5.972000000000001e25,1.0462711965534886e11,1.0e-10,1.7937486031682756e7
5.972000000000001e25,1.1807483020051779e11,1.0e-10,1.784007341839721e7
5.972000000000001e25,1.3325097329264297e11,1.0e-10,1.7824125234868675e7
5.972000000000001e25,1.5037770414984564e11,1.0e-10,1.7807826792676087e7
5.972000000000001e25,1.697057315725215e11,1.0e-10,1.7807430080977716e7
5.972000000000001e25,1.9151798793168564e11,1.0e-10,1.7814118184418105e7
5.972000000000001e25,2.1613377086045517e11,1.0e-10,1.7812852139876816e7
5.972000000000001e25,2.4391341727661914e11,1.0e-10,1.7810702328514125e7
5.972000000000001e25,2.752635781567402e11,1.0e-10,1.779873744324445e7
5.972000000000001e25,3.106431712763152e11,1.0e-10,1.7794819619647443e7
5.972000000000001e25,3.50570099054869e11,1.0e-10,1.7794246039285526e7
5.972000000000001e25,3.95628829844846e11,1.0e-10,1.7787250946739197e7
5.972000000000001e25,4.4647895364260455e11,1.0e-10,1.778835449890854e7
5.972000000000001e25,5.0386483746387146e11,1.0e-10,1.778683153339071e7
5.972000000000001e25,5.686265217233893e11,1.0e-10,1.778524398002469e7
5.972000000000001e25,6.417120171248813e11,1.0e-10,1.778194079268424e7
5.972000000000001e25,7.241911820687164e11,1.0e-10,1.778666697606429e7
5.972000000000001e25,8.172713837210608e11,1.0e-10,1.7785584105201717e7
5.972000000000001e25,9.223151719982683e11,1.0e-10,1.7782079249404557e7
5.972000000000001e25,1.0408602251862667e12,1.0e-10,1.777920100609226e7
5.972000000000001e25,1.1746418591678938e12,1.0e-10,1.777116680395054e7
5.972000000000001e25,1.3256184297584172e12,1.0e-10,1.7768653659361713e7
5.972000000000001e25,1.4960000000000024e12,1.0e-10,1.776158079251531e7
5.972000000000001e25,4.4880000000000084e10,1.0e-12,1.7384749364842594e7
5.972000000000001e25,5.064842076179947e10,1.0e-12,1.7219740241798677e7
5.972000000000001e25,5.7158255919435715e10,1.0e-12,1.7013577522107497e7
5.972000000000001e25,6.450479937206279e10,1.0e-12,1.6921959244206514e7
5.972000000000001e25,7.27955931317221e10,1.0e-12,1.677114849414567e7
5.972000000000001e25,8.215200157175165e10,1.0e-12,1.667484100881364e7
5.972000000000001e25,9.271098801314798e10,1.0e-12,1.6556970931298751e7
5.972000000000001e25,1.0462711965534886e11,1.0e-12,1.6515612509072216e7
5.972000000000001e25,1.1807483020051779e11,1.0e-12,1.6433216318928197e7
5.972000000000001e25,1.3325097329264297e11,1.0e-12,1.6371735968020068e7
5.972000000000001e25,1.5037770414984564e11,1.0e-12,1.6339311235013854e7
5.972000000000001e25,1.697057315725215e11,1.0e-12,1.629411787774035e7
5.972000000000001e25,1.9151798793168564e11,1.0e-12,1.6280688989681037e7
5.972000000000001e25,2.1613377086045517e11,1.0e-12,1.6228479235712437e7
5.972000000000001e25,2.4391341727661914e11,1.0e-12,1.6210064936644366e7
5.972000000000001e25,2.752635781567402e11,1.0e-12,1.618225495479538e7
5.972000000000001e25,3.106431712763152e11,1.0e-12,1.6167116954353323e7
5.972000000000001e25,3.50570099054869e11,1.0e-12,1.6139397250144681e7
5.972000000000001e25,3.95628829844846e11,1.0e-12,1.612736467762402e7
5.972000000000001e25,4.4647895364260455e11,1.0e-12,1.6101907136425136e7
5.972000000000001e25,5.0386483746387146e11,1.0e-12,1.6102092676610284e7
5.972000000000001e25,5.686265217233893e11,1.0e-12,1.6113167759175591e7
5.972000000000001e25,6.417120171248813e11,1.0e-12,1.6090346818041606e7
5.972000000000001e25,7.241911820687164e11,1.0e-12,1.6091230190887922e7
5.972000000000001e25,8.172713837210608e11,1.0e-12,1.6080770270921988e7
5.972000000000001e25,9.223151719982683e11,1.0e-12,1.6087143970241243e7
5.972000000000001e25,1.0408602251862667e12,1.0e-12,1.6070804382141601e7
5.972000000000001e25,1.1746418591678938e12,1.0e-12,1.608017513594161e7
5.972000000000001e25,1.3256184297584172e12,1.0e-12,1.6063712503866328e7
5.972000000000001e25,1.4960000000000024e12,1.0e-12,1.6048127627283629e7
5.972000000000001e25,4.4880000000000084e10,1.0e-14,1.724891071817592e7
5.972000000000001e25,5.064842076179947e10,1.0e-14,1.7011707637226757e7
5.972000000000001e25,5.7158255919435715e10,1.0e-14,1.6578462654902015e7
5.972000000000001e25,6.450479937206279e10,1.0e-14,1.638577924863011e7
5.972000000000001e25,7.27955931317221e10,1.0e-14,1.6262583745752657e7
5.972000000000001e25,8.215200157175165e10,1.0e-14,1.613431851412498e7
5.972000000000001e25,9.271098801314798e10,1.0e-14,1.6073152621781113e7
5.972000000000001e25,1.0462711965534886e11,1.0e-14,1.6030352828582842e7
5.972000000000001e25,1.1807483020051779e11,1.0e-14,1.591138893602311e7
5.972000000000001e25,1.3325097329264297e11,1.0e-14,1.5813766151972508e7
5.972000000000001e25,1.5037770414984564e11,1.0e-14,1.5740250798124224e7
5.972000000000001e25,1.697057315725215e11,1.0e-14,1.578497078182347e7
5.972000000000001e25,1.9151798793168564e11,1.0e-14,1.5708432829784324e7
5.972000000000001e25,2.1613377086045517e11,1.0e-14,1.5628816738533909e7
5.972000000000001e25,2.4391341727661914e11,1.0e-14,1.5591356073042464e7
5.972000000000001e25,2.752635781567402e11,1.0e-14,1.5563796641900098e7
5.972000000000001e25,3.106431712763152e11,1.0e-14,1.5527461098667925e7
5.972000000000001e25,3.50570099054869e11,1.0e-14,1.5453797121226408e7
5.972000000000001e25,3.95628829844846e11,1.0e-14,1.543233823370933e7
5.972000000000001e25,4.4647895364260455e11,1.0e-14,1.5400157692309303e7
5.972000000000001e25,5.0386483746387146e11,1.0e-14,1.5346591202782033e7
5.972000000000001e25,5.686265217233893e11,1.0e-14,1.534586437914377e7
5.972000000000001e25,6.417120171248813e11,1.0e-14,1.5335426257815653e7
5.972000000000001e25,7.241911820687164e11,1.0e-14,1.5336408274783432e7
5.972000000000001e25,8.172713837210608e11,1.0e-14,1.5331248044584021e7
5.972000000000001e25,9.223151719982683e11,1.0e-14,1.5312903553727392e7
5.972000000000001e25,1.0408602251862667e12,1.0e-14,1.5280016422418764e7
5.972000000000001e25,1.1746418591678938e12,1.0e-14,1.5291535912517443e7
5.972000000000001e25,1.3256184297584172e12,1.0e-14,1.52630759095751e7
5.972000000000001e25,1.4960000000000024e12,1.0e-14,1.5131434558095533e7
