"M","D","ɛ","R"
5.972e24,4.922355465219763e11,1.0e-12,1.0918958858415484e7
5.972e24,5.769504150060564e11,1.0e-12,1.0894391685456038e7
5.972e24,6.762449069914958e11,1.0e-12,1.0872023763462901e7
5.972e24,7.92628209180043e11,1.0e-12,1.0852061331614852e7
5.972e24,9.290413450697795e11,1.0e-12,1.0833766871005297e7
5.972e24,1.0889314950598782e12,1.0e-12,1.0818375915884972e7
5.972e24,1.276339107216255e12,1.0e-12,1.0804230949535966e7
5.972e24,1.4960000000000024e12,1.0e-12,1.0791638004288077e7
5.972e24,1.4960000000000023e10,1.0e-14,1.708951058357954e7
5.972e24,1.753465037110095e10,1.0e-14,1.5742306846439838e7
5.972e24,2.0552403986413616e10,1.0e-14,1.4612313832223415e7
5.972e24,2.4089519932311737e10,1.0e-14,1.3753291329099331e7
5.972e24,2.8235381659141136e10,1.0e-14,1.303226834917115e7
5.972e24,3.3094755714414124e10,1.0e-14,1.238348129501706e7
5.972e24,3.879043920917388e10,1.0e-14,1.1876284060269594e7
5.972e24,4.5466362919405464e10,1.0e-14,1.1454862127660308e7
5.972e24,5.329122843832614e10,1.0e-14,1.1094479804486036e7
5.972e24,6.246277129094356e10,1.0e-14,1.075193933840096e7
5.972e24,7.32127577404232e10,1.0e-14,1.0486479102164507e7
5.972e24,8.581284155631276e10,1.0e-14,1.0252691311240196e7
5.972e24,1.0058142874603061e11,1.0e-14,1.0069091396786273e7
5.972e24,1.1789172372242242e11,1.0e-14,9.935386632226408e6
5.972e24,1.3818116023523352e11,1.0e-14,9.816194167852402e6
5.972e24,1.6196245538755908e11,1.0e-14,9.729735282629728e6
5.972e24,1.8983656607392163e11,1.0e-14,9.658855533897877e6
5.972e24,2.2250787525111063e11,1.0e-14,9.599804600000381e6
5.972e24,2.608019918011185e11,1.0e-14,9.54905455544591e6
5.972e24,3.056866137913986e11,1.0e-14,9.504457471460104e6
5.972e24,3.582959823501277e11,1.0e-14,9.464903268039227e6
5.972e24,4.199595441095997e11,1.0e-14,9.430084012031555e6
5.972e24,4.922355465219763e11,1.0e-14,9.398549376308918e6
5.972e24,5.769504150060564e11,1.0e-14,9.370239484980702e6
5.972e24,6.762449069914958e11,1.0e-14,9.344376901879907e6
5.972e24,7.92628209180043e11,1.0e-14,9.321962409749627e6
5.972e24,9.290413450697795e11,1.0e-14,9.300985889405012e6
5.972e24,1.0889314950598782e12,1.0e-14,9.283017419755459e6
5.972e24,1.276339107216255e12,1.0e-14,9.266488347508013e6
5.972e24,1.4960000000000024e12,1.0e-14,9.251619643211365e6
5.972e24,1.4960000000000023e10,1.0e-18,1.709073851454258e7
