"M","D","ɛ","R"
5.972000000000001e25,4.922355465219763e11,1.0e-10,1.6209772180616856e7
5.972000000000001e25,5.769504150060564e11,1.0e-10,1.6208119415953755e7
5.972000000000001e25,6.762449069914958e11,1.0e-10,1.6204731200873852e7
5.972000000000001e25,7.92628209180043e11,1.0e-10,1.6202727734565735e7
5.972000000000001e25,9.290413450697795e11,1.0e-10,1.6201020796477795e7
5.972000000000001e25,1.0889314950598782e12,1.0e-10,1.6200627326339483e7
5.972000000000001e25,1.276339107216255e12,1.0e-10,1.61994155523628e7
5.972000000000001e25,1.4960000000000024e12,1.0e-10,1.6198408116742969e7
5.972000000000001e25,1.4960000000000023e10,1.0e-12,1.6361379836469889e7
5.972000000000001e25,1.753465037110095e10,1.0e-12,1.6202843684703112e7
5.972000000000001e25,2.0552403986413616e10,1.0e-12,1.6067619213014841e7
5.972000000000001e25,2.4089519932311737e10,1.0e-12,1.5940779266834259e7
5.972000000000001e25,2.8235381659141136e10,1.0e-12,1.5838995955258608e7
5.972000000000001e25,3.3094755714414124e10,1.0e-12,1.5721863506644964e7
5.972000000000001e25,3.879043920917388e10,1.0e-12,1.5635573794573545e7
5.972000000000001e25,4.5466362919405464e10,1.0e-12,1.5577826349310577e7
5.972000000000001e25,5.329122843832614e10,1.0e-12,1.5533464492037892e7
5.972000000000001e25,6.246277129094356e10,1.0e-12,1.5501351056039333e7
5.972000000000001e25,7.32127577404232e10,1.0e-12,1.547572417485714e7
5.972000000000001e25,8.581284155631276e10,1.0e-12,1.5456850438766181e7
5.972000000000001e25,1.0058142874603061e11,1.0e-12,1.543952872377634e7
5.972000000000001e25,1.1789172372242242e11,1.0e-12,1.542355706755817e7
5.972000000000001e25,1.3818116023523352e11,1.0e-12,1.5411235939845443e7
5.972000000000001e25,1.6196245538755908e11,1.0e-12,1.5399544934600592e7
5.972000000000001e25,1.8983656607392163e11,1.0e-12,1.5388231242507696e7
5.972000000000001e25,2.2250787525111063e11,1.0e-12,1.5379819155082107e7
5.972000000000001e25,2.608019918011185e11,1.0e-12,1.5371482150122523e7
5.972000000000001e25,3.056866137913986e11,1.0e-12,1.5363118533656001e7
5.972000000000001e25,3.582959823501277e11,1.0e-12,1.53564171859622e7
5.972000000000001e25,4.199595441095997e11,1.0e-12,1.5350391580462456e7
5.972000000000001e25,4.922355465219763e11,1.0e-12,1.5345940805926919e7
5.972000000000001e25,5.769504150060564e11,1.0e-12,1.5341124123170972e7
5.972000000000001e25,6.762449069914958e11,1.0e-12,1.533583983822167e7
5.972000000000001e25,7.92628209180043e11,1.0e-12,1.5331977368071675e7
5.972000000000001e25,9.290413450697795e11,1.0e-12,1.5329503448337317e7
5.972000000000001e25,1.0889314950598782e12,1.0e-12,1.5326436472162604e7
5.972000000000001e25,1.276339107216255e12,1.0e-12,1.5323709743112326e7
5.972000000000001e25,1.4960000000000024e12,1.0e-12,1.5320319627210498e7
5.972000000000001e25,1.4960000000000023e10,1.0e-14,1.6351375810682774e7
5.972000000000001e25,1.753465037110095e10,1.0e-14,1.6195774527966976e7
5.972000000000001e25,2.0552403986413616e10,1.0e-14,1.6036351642772555e7
5.972000000000001e25,2.4089519932311737e10,1.0e-14,1.58960419675312e7
5.972000000000001e25,2.8235381659141136e10,1.0e-14,1.570447288686037e7
5.972000000000001e25,3.3094755714414124e10,1.0e-14,1.5538280224382877e7
5.972000000000001e25,3.879043920917388e10,1.0e-14,1.5396421884179115e7
5.972000000000001e25,4.5466362919405464e10,1.0e-14,1.5283186120510101e7
5.972000000000001e25,5.329122843832614e10,1.0e-14,1.517117068451643e7
5.972000000000001e25,6.246277129094356e10,1.0e-14,1.5069303736776114e7
5.972000000000001e25,7.32127577404232e10,1.0e-14,1.498050113812089e7
5.972000000000001e25,8.581284155631276e10,1.0e-14,1.490058203072846e7
5.972000000000001e25,1.0058142874603061e11,1.0e-14,1.4840575933814049e7
5.972000000000001e25,1.1789172372242242e11,1.0e-14,1.480036214518547e7
5.972000000000001e25,1.3818116023523352e11,1.0e-14,1.476438243739307e7
5.972000000000001e25,1.6196245538755908e11,1.0e-14,1.4739842826351523e7
5.972000000000001e25,1.8983656607392163e11,1.0e-14,1.471959432080388e7
5.972000000000001e25,2.2250787525111063e11,1.0e-14,1.4705611874729395e7
5.972000000000001e25,2.608019918011185e11,1.0e-14,1.4692992317974567e7
5.972000000000001e25,3.056866137913986e11,1.0e-14,1.4682121517390013e7
5.972000000000001e25,3.582959823501277e11,1.0e-14,1.4672636415988207e7
5.972000000000001e25,4.199595441095997e11,1.0e-14,1.4663337595134974e7
5.972000000000001e25,4.922355465219763e11,1.0e-14,1.4656755048811436e7
5.972000000000001e25,5.769504150060564e11,1.0e-14,1.4650040870569646e7
5.972000000000001e25,6.762449069914958e11,1.0e-14,1.4644003384932876e7
5.972000000000001e25,7.92628209180043e11,1.0e-14,1.4638567984640598e7
5.972000000000001e25,9.290413450697795e11,1.0e-14,1.4633670516952872e7
5.972000000000001e25,1.0889314950598782e12,1.0e-14,1.4628356769263744e7
5.972000000000001e25,1.276339107216255e12,1.0e-14,1.462438120020926e7
5.972000000000001e25,1.4960000000000024e12,1.0e-14,1.4621701991707087e7
5.972000000000001e25,1.4960000000000023e10,1.0e-18,1.6350072797253728e7
5.972000000000001e25,1.753465037110095e10,1.0e-18,1.619560440440476e7
5.972000000000001e25,2.0552403986413616e10,1.0e-18,1.6036003792360425e7
5.972000000000001e25,2.4089519932311737e10,1.0e-18,1.5896036680870224e7
5.972000000000001e25,2.8235381659141136e10,1.0e-18,1.5703242104664445e7
5.972000000000001e25,3.3094755714414124e10,1.0e-18,1.5536504856705666e7
5.972000000000001e25,3.879043920917388e10,1.0e-18,1.5392505240604281e7
5.972000000000001e25,4.5466362919405464e10,1.0e-18,1.5277438035011292e7
5.972000000000001e25,5.329122843832614e10,1.0e-18,1.5159301952421665e7
5.972000000000001e25,6.246277129094356e10,1.0e-18,1.5047313127934933e7
5.972000000000001e25,7.32127577404232e10,1.0e-18,1.4941503875523806e7
5.972000000000001e25,8.581284155631276e10,1.0e-18,1.4843207621768117e7
5.972000000000001e25,1.0058142874603061e11,1.0e-18,1.4766702390551567e7
5.972000000000001e25,1.1789172372242242e11,1.0e-18,1.4687790718778968e7
5.972000000000001e25,1.3818116023523352e11,1.0e-18,1.4626401773914695e7
5.972000000000001e25,1.6196245538755908e11,1.0e-18,1.4568479453034699e7
5.972000000000001e25,1.8983656607392163e11,1.0e-18,1.4509122962012887e7
5.972000000000001e25,2.2250787525111063e11,1.0e-18,1.4444586731247604e7
5.972000000000001e25,2.608019918011185e11,1.0e-18,1.4392845883265138e7
5.972000000000001e25,3.056866137913986e11,1.0e-18,1.4345535375982523e7
5.972000000000001e25,3.582959823501277e11,1.0e-18,1.3983194998323917e7
5.972000000000001e25,4.199595441095997e11,1.0e-18,1.3927708580739796e7
5.972000000000001e25,4.922355465219763e11,1.0e-18,1.3889680262118578e7
5.972000000000001e25,5.769504150060564e11,1.0e-18,1.3862554582849145e7
5.972000000000001e25,6.762449069914958e11,1.0e-18,1.3829348174244165e7
5.972000000000001e25,7.92628209180043e11,1.0e-18,1.3795819101117551e7
5.972000000000001e25,9.290413450697795e11,1.0e-18,1.3758379086881876e7
5.972000000000001e25,1.0889314950598782e12,1.0e-18,1.3729068412810564e7
5.972000000000001e25,1.276339107216255e12,1.0e-18,1.3627709934934974e7
5.972000000000001e25,1.4960000000000024e12,1.0e-18,1.3620194085046649e7
