NAME,PER,R,SEP,DATE,PLANETDISCMETH,MASS,MSINI
# ,day,rearth,au,,,mearth,mearth
Kepler-1148 b,1.10446351,1.6925560903717407,0.0194926,2016,Transit,3.980112769910615,
Kepler-240 c,7.953528,2.199997857042066,0.0779794,2014,Transit,5.247088691372904,
Kepler-545 b,13.24934059,2.690155375425283,0.111023,2016,Transit,7.017962850256101,
61 Vir b,4.215,,0.05006,2010,RV,5.108902028723511,5.108902028723511
Kepler-298 b,10.475464,1.9599911616312067,0.0936962,2014,Transit,4.593721301596866,
HD 210702 b,354.29,,1.17218,2007,RV,592.5976755046701,592.5976755046701
Kepler-1299 b,19.9400874,2.981588874429689,0.140972,2016,Transit,8.436537295370092,
Kepler-1564 b,18.0540381,1.4683764757529671,0.131467,2016,Transit,3.491723983127448,
Kepler-363 d,11.932125,2.0499992769006443,0.102192,2014,Transit,4.825536737973285,
HAT-P-4 b,3.056536,14.280241451215879,0.0443853,2007,Transit,213.41607929095105,213.41607929095105
Kepler-1414 b,3.51576315,1.2329878804032548,0.0420065,2016,Transit,1.936402584613839,
Kepler-485 b,3.2432598,14.414749219987144,0.0438587,2016,Transit,317.8166114291453,
HAT-P-21 b,4.124481,11.477996268481208,0.0494951,2011,Transit,1296.1610208898262,1294.6132539921664
Kepler-398 d,6.83437001,0.8855094777441558,0,2016,Transit,0.6009308270563422,
Kepler-1180 b,16.8601286,1.9951985701070851,0.132431,2016,Transit,4.682646389474741,
Kepler-1388 b,12.2854603,2.589274548846835,0.0893266,2016,Transit,6.596283770211911,
Kepler-215 d,30.864423,2.390001289412207,0.192566,2014,Transit,5.854754052425429,
Kepler-579 b,9.66857723,1.9951985701070851,0.0885238,2016,Transit,4.682646389474741,
Kepler-232 c,11.379349,3.8299966259544376,0.0990113,2014,Transit,14.715385834086574,
Kepler-1009 b,11.35011917,2.174542261802104,0.0829006,2016,Transit,5.1721793160590535,
Kepler-346 b,6.511127,2.6599920082783273,0.0682408,2014,Transit,6.888420799437582,
Kepler-330 c,15.955387,1.9499927508192096,0.124035,2014,Transit,4.568836260921964,
Kepler-1233 b,45.1263042,2.6004835295777737,0.260643,2016,Transit,6.641509074018279,
Kepler-1416 b,1.49514952,0.8855094777441558,0.0263353,2016,Transit,0.6009308270563422,
